	GPS Time	 Device Time	 Longitude	 Latitude	GPS Speed (Meters/second)	 Horizontal Dilution of Precision	 Altitude	 Bearing	 G(x)	 G(y)	 G(z)	 G(calibrated)	Engine RPM(rpm)	Engine Load(%)	Speed (GPS)(km/h)	Throttle Position(Manifold)(%)	Engine Coolant Temperature(°C)	Acceleration Sensor(Total)(g)	Road Structure
25	Tue Nov 01 17:46:20 GMT+08:00 2016	01-Nov-2016 17:46:19.732	103.32553949	2.02770004	3.25	10.0	49.0	59.6	-0.11133038	2.4073699	9.340978	0.0023688078	2318.75	49.0196075439	11.6999998093	23.137254715	96.0	0.00236880779266	Straight Road
26	Tue Nov 01 17:46:21 GMT+08:00 2016	01-Nov-2016 17:46:20.732	103.32557628	2.02771917	3.5	10.0	48.0	59.3	-0.06584055	2.2822728	8.913014	-0.043098807	1885.25	60.7843132019	12.5999994278	25.882352829	96.0	-0.0430988073349	Straight Road
27	Tue Nov 01 17:46:22 GMT+08:00 2016	01-Nov-2016 17:46:21.732	103.32562929	2.02777309	6.75	10.0	46.0	46.8	-0.43634325	2.2469583	8.457518	-0.08785206	1973.75	60.3921585083	24.2999992371	26.2745094299	96.0	-0.0878520607948	Straight Road
28	Tue Nov 01 17:46:23 GMT+08:00 2016	01-Nov-2016 17:46:22.732	103.32569608	2.02789627	8.25	11.0	43.0	33.1	0.16819267	2.0518308	9.311649	-0.008878291	2211.25	61.5686302185	29.6999988556	27.0588245392	96.0	-0.00887829065323	Straight Road
29	Tue Nov 01 17:46:24 GMT+08:00 2016	01-Nov-2016 17:46:23.732	103.32572153	2.0279786	9.0	11.0	44.0	27.6	-0.51116204	2.2212207	8.884284	-0.046035588	2377.5	63.5294113159	32.3999977112	27.4509811401	96.0	-0.0460355877876	Straight Road
30	Tue Nov 01 17:46:25 GMT+08:00 2016	01-Nov-2016 17:46:24.732	103.32580593	2.02806313	11.5	11.0	45.0	32.8	0.11851298	1.5969325	9.211093	-0.027967453	2701.0	62.745098114	41.3999977112	27.4509811401	96.0	-0.0279674530029	Straight Road
31	Tue Nov 01 17:46:26 GMT+08:00 2016	01-Nov-2016 17:46:25.732	103.32588565	2.028177	13.25	10.0	47.0	29.0	0.5835867	1.6472107	9.859921	0.03975302	2840.75	60.7843132019	47.6999969482	27.0588245392	96.0	0.0397530198097	Straight Road
32	Tue Nov 01 17:46:27 GMT+08:00 2016	01-Nov-2016 17:46:26.732	103.32596334	2.02829102	14.5	10.0	50.0	29.2	-0.20590134	1.3617022	9.494206	-0.0030622482	2005.25	45.490196228	52.1999969482	19.2156867981	96.0	-0.00306224822998	Straight Road
33	Tue Nov 01 17:46:28 GMT+08:00 2016	01-Nov-2016 17:46:27.731	103.32604716	2.02841201	15.0	10.0	51.0	28.6	-0.004189853	1.4999673	9.742006	0.023771107	2065.0	56.8627471924	54.0	24.7058830261	96.0	0.0237711071968	Straight Road
34	Tue Nov 01 17:46:29 GMT+08:00 2016	01-Nov-2016 17:46:28.732	103.32610466	2.02854508	15.5	10.0	52.0	28.1	0.56563014	2.0171149	9.621099	0.022724211	1838.75	62.745098114	55.7999992371	25.0980396271	96.0	0.022724211216	Straight Road
