	GPS Time	 Device Time	 Longitude	 Latitude	GPS Speed (Meters/second)	 Horizontal Dilution of Precision	 Altitude	 Bearing	 G(x)	 G(y)	 G(z)	 G(calibrated)	Speed (GPS)(km/h)	Acceleration Sensor(Total)(g)	Engine RPM(rpm)	Engine Load(%)	Throttle Position(Manifold)(%)	Engine Coolant Temperature(°C)	Road Structure
40	Mon Nov 07 16:19:03 GMT+08:00 2016	07-Nov-2016 16:19:01.925	103.326368333	2.02831166667	2.8417814	5.8	30.8	213.9	-0.971	-1.078	9.015	-0.050215185	10.2304124832	-0.0502151846886	882.0	36.4705886841	18.8235301971	87.0	Straight Road
41	Mon Nov 07 16:19:04 GMT+08:00 2016	07-Nov-2016 16:19:02.926	103.326338333	2.028275	3.0512733	5.8	30.6	214.48	-0.378	-1.441	10.087	0.05839008	10.9845838547	0.0583900809288	882.75	36.8627471924	18.8235301971	88.0	Straight Road
42	Mon Nov 07 16:19:05 GMT+08:00 2016	07-Nov-2016 16:19:03.925	103.326313333	2.028245	3.1830423	5.8	30.5	215.57	0.01	-1.819	9.47	0.0019887686	11.4589519501	0.00198876857758	847.5	37.254901886	18.8235301971	88.0	Straight Road
43	Mon Nov 07 16:19:06 GMT+08:00 2016	07-Nov-2016 16:19:04.925	103.326295	2.02821666667	3.1634827	5.8	30.7	216.52	0.087	-1.693	9.993	0.052208126	11.3885374069	0.0522081255913	852.25	45.8823547363	19.2156867981	88.0	Straight Road
44	Mon Nov 07 16:19:07 GMT+08:00 2016	07-Nov-2016 16:19:05.924	103.326241667	2.02819	3.222161	5.6	31.5	217.64	-0.052	-1.59	10.051	0.056320965	11.599779129	0.0563209652901	811.5	44.7058830261	19.2156867981	88.0	Straight Road
45	Mon Nov 07 16:19:08 GMT+08:00 2016	07-Nov-2016 16:19:06.925	103.32622	2.02816833333	3.189219	5.6	31.1	217.95	0.035	-0.413	9.903	0.029363811	11.4811878204	0.0293638110161	766.25	43.1372566223	18.8235301971	88.0	Straight Road
46	Mon Nov 07 16:19:09 GMT+08:00 2016	07-Nov-2016 16:19:07.925	103.326193333	2.02814666667	3.1022308	5.5	31.3	219.28	-0.717	1.977	9.983	0.058969676	11.1680307388	0.0589696764946	1218.75	92.156867981	31.372549057	88.0	Straight Road
47	Mon Nov 07 16:19:10 GMT+08:00 2016	07-Nov-2016 16:19:08.925	103.326173333	2.02812	3.083701	5.5	30.8	220.09	-1.123	0.439	9.739	0.019342124	11.1013231277	0.0193421244621	1616.25	74.509803772	21.9607849121	88.0	Straight Road
48	Mon Nov 07 16:19:11 GMT+08:00 2016	07-Nov-2016 16:19:09.925	103.326151667	2.02809	3.107378	5.4	30.5	219.49	-0.876	-0.806	9.927	0.038176	11.1865606308	0.0381760001183	1828.0	54.509803772	19.607843399	88.0	Straight Road
49	Mon Nov 07 16:19:12 GMT+08:00 2016	07-Nov-2016 16:19:10.925	103.326136667	2.02805666667	3.1989987	5.4	29.7	217.62	-0.4	-2.548	9.861	0.058013618	11.5163946152	0.0580136179924	1339.0	27.8431377411	19.607843399	88.0	Straight Road
50	Mon Nov 07 16:19:13 GMT+08:00 2016	07-Nov-2016 16:19:11.925	103.32612	2.02802666667	3.2767217	5.4	29.6	215.84	-0.183	-2.767	9.766	0.053869545	11.7961978912	0.0538695454597	932.0	34.509803772	18.8235301971	88.0	Straight Road
51	Mon Nov 07 16:19:14 GMT+08:00 2016	07-Nov-2016 16:19:12.925	103.326098333	2.02800166667	3.2865014	5.4	30.3	216.04	0.158	-2.696	10.024	0.07724911	11.831404686	0.077249109745	667.75	38.4313735962	18.8235301971	88.0	Straight Road
52	Mon Nov 07 16:19:15 GMT+08:00 2016	07-Nov-2016 16:19:13.925	103.326088333	2.02797166667	3.173777	5.4	30.1	215.74	0.008	-0.651	9.86	0.034391258	11.4255971909	0.0343912579119	716.25	43.1372566223	18.8235301971	88.0	Straight Road
53	Mon Nov 07 16:19:16 GMT+08:00 2016	07-Nov-2016 16:19:14.925	103.32607	2.027945	3.0265667	5.3	30.3	215.92	-0.017	-0.653	9.855	0.025791466	10.8956403732	0.0257914662361	737.5	41.9607849121	18.8235301971	88.0	Straight Road
54	Mon Nov 07 16:19:17 GMT+08:00 2016	07-Nov-2016 16:19:15.924	103.32606	2.02792833333	2.7913387	5.2	30.2	216.63	-0.043	-0.661	9.969	0.037448704	10.0488185883	0.0374487042427	718.75	43.5294113159	18.8235301971	88.0	Straight Road
55	Mon Nov 07 16:19:18 GMT+08:00 2016	07-Nov-2016 16:19:16.925	103.326055	2.02792666667	2.4835348	5.2	30.4	218.2	-0.045	-0.701	9.872	0.027864277	8.94072532654	0.0278642773628	725.0	44.3137245178	18.8235301971	88.0	Straight Road
56	Mon Nov 07 16:19:19 GMT+08:00 2016	07-Nov-2016 16:19:17.925	103.326045	2.027915	2.3414714	5.2	30.4	218.75	0.006	-0.643	9.922	0.032538712	8.42929649353	0.0325387120247	705.25	44.7058830261	18.8235301971	88.0	Straight Road
57	Mon Nov 07 16:19:20 GMT+08:00 2016	07-Nov-2016 16:19:18.924	103.326041667	2.02790833333	2.1819074	5.2	30.1	219.04	-0.021	-0.397	9.851	0.02399677	7.85486650467	0.0239967703819	679.5	45.490196228	18.8235301971	88.0	Straight Road
58	Mon Nov 07 16:19:21 GMT+08:00 2016	07-Nov-2016 16:19:19.925	103.326036667	2.0279	2.0666096	5.2	29.8	219.49	-0.084	-0.289	9.921	0.030780137	7.43979454041	0.0307801365852	792.75	57.254901886	20.0	89.0	Straight Road
59	Mon Nov 07 16:19:22 GMT+08:00 2016	07-Nov-2016 16:19:20.924	103.326028333	2.02789166667	1.9600623	5.2	29.7	220.35	-0.128	-0.475	10.0	0.03960067	7.05622386932	0.0396006703377	742.75	49.8039207458	18.8235301971	89.0	Straight Road
60	Mon Nov 07 16:19:23 GMT+08:00 2016	07-Nov-2016 16:19:21.924	103.326018333	2.02788666667	1.8555737	5.2	29.5	222.06	-0.367	-0.526	9.686	0.008522034	6.68006515503	0.00852203369141	717.75	47.4509811401	18.8235301971	89.0	Straight Road
61	Mon Nov 07 16:19:24 GMT+08:00 2016	07-Nov-2016 16:19:22.926	103.326018333	2.02787833333	1.7160839	5.2	29.2	222.84	-0.023	-0.452	9.841	0.023220241	6.17790174484	0.0232202410698	714.75	47.4509811401	19.2156867981	89.0	Straight Road
62	Mon Nov 07 16:19:25 GMT+08:00 2016	07-Nov-2016 16:19:23.925	103.326018333	2.02787	1.57505	5.1	29.3	221.66	0.013	-0.577	9.975	0.03752011	5.6701798439	0.0375201106071	717.75	47.4509811401	18.8235301971	89.0	Straight Road
63	Mon Nov 07 16:19:26 GMT+08:00 2016	07-Nov-2016 16:19:24.925	103.326018333	2.02786166667	1.4926945	5.1	29.4	219.58	0.027	-0.639	9.974	0.037805736	5.37370014191	0.0378057360649	717.0	45.490196228	18.8235301971	89.0	Straight Road
64	Mon Nov 07 16:19:27 GMT+08:00 2016	07-Nov-2016 16:19:25.924	103.32601	2.02785666667	1.4273248	5.1	29.5	220.76	0.087	-0.459	9.991	0.03856331	5.1383690834	0.0385633111	750.75	46.2745094299	20.0	89.0	Straight Road
65	Mon Nov 07 16:19:28 GMT+08:00 2016	07-Nov-2016 16:19:26.925	103.325996667	2.02785333333	1.3995297	5.1	29.1	222.92	0.183	0.868	9.964	0.03871554	5.0383067131	0.0387155413628	1216.25	69.0196075439	23.137254715	89.0	Straight Road
66	Mon Nov 07 16:19:29 GMT+08:00 2016	07-Nov-2016 16:19:27.926	103.325986667	2.02784666667	1.3912941	5.1	28.7	222.6	0.268	1.043	9.663	0.01011318	5.00865888596	0.0101131796837	1685.75	74.9019622803	25.490196228	89.0	Straight Road
67	Mon Nov 07 16:19:30 GMT+08:00 2016	07-Nov-2016 16:19:28.926	103.325978333	2.027835	1.4247512	5.1	28.4	221.14	0.556	-0.11	9.66	0.005402863	5.12910413742	0.00540286302567	1916.25	65.490196228	24.3137264252	89.0	Straight Road
68	Mon Nov 07 16:19:31 GMT+08:00 2016	07-Nov-2016 16:19:29.925	103.325961667	2.02781833333	1.5786531	5.2	28.0	221.33	0.454	0.332	10.239	0.06430441	5.68315076828	0.0643044114113	1714.75	70.1960830688	26.6666679382	89.0	Straight Road
69	Mon Nov 07 16:19:32 GMT+08:00 2016	07-Nov-2016 16:19:30.924	103.325933333	2.02778666667	1.8632945	5.1	28.0	221.47	0.186	0.34	9.921	0.031086266	6.70785999298	0.0310862660408	1873.25	78.0392150879	26.6666679382	89.0	Straight Road
70	Mon Nov 07 16:19:33 GMT+08:00 2016	07-Nov-2016 16:19:31.925	103.3259	2.027755	2.1340384	5.1	28.3	221.75	0.101	0.436	9.765	0.015457749	7.68253803253	0.0154577493668	2065.5	85.490196228	26.6666679382	89.0	Straight Road
71	Mon Nov 07 16:19:34 GMT+08:00 2016	07-Nov-2016 16:19:32.924	103.325863333	2.02772333333	2.5082414	5.1	28.7	221.68	0.58	-0.144	10.099	0.050260484	9.02966880798	0.0502604842186	1925.75	70.9803924561	25.0980396271	89.0	Straight Road
