	GPS Time	 Device Time	 Longitude	 Latitude	GPS Speed (Meters/second)	 Horizontal Dilution of Precision	 Altitude	 Bearing	 G(x)	 G(y)	 G(z)	 G(calibrated)	Speed (GPS)(km/h)	Acceleration Sensor(Total)(g)	Engine RPM(rpm)	Engine Load(%)	Throttle Position(Manifold)(%)	Engine Coolant Temperature(°C)	Road Structure
0	Tue Nov 01 16:55:51 GMT+08:00 2016	01-Nov-2016 16:55:49.393	103.326148333	2.02813333333	0.11787139	3.5	53.4	314.83	0.228	0.068	9.874	0.025816023	0.424336999655	0.0258160233498	700.5	21.1764717102	-	96.0	Straight Road
1	Tue Nov 01 16:55:52 GMT+08:00 2016	01-Nov-2016 16:55:50.394	103.32615	2.02813666667	0.048383888	3.4	53.4	243.74	0.244	0.075	9.9	0.028509676	0.174181997776	0.0285096764565	700.5	21.1764717102	9.803921699523926	96.0	Straight Road
2	Tue Nov 01 16:55:53 GMT+08:00 2016	01-Nov-2016 16:55:51.392	103.326128333	2.02815166667	0.067943335	3.3	53.4	274.44	0.196	0.143	9.784	0.01665622	0.244596004486	0.0166562199593	745.5	20.0	9.411765098571777	96.0	Straight Road
3	Tue Nov 01 16:55:54 GMT+08:00 2016	01-Nov-2016 16:55:52.392	103.326116667	2.02816	0.10397389	3.2	53.4	259.56	0.247	0.077	9.788	0.017105877	0.374305993319	0.0171058773994	758.0	20.0	9.411765098571777	96.0	Straight Road
4	Tue Nov 01 16:55:55 GMT+08:00 2016	01-Nov-2016 16:55:53.392	103.326106667	2.02816833333	0.08595861	3.1	53.4	296.41	0.235	0.093	9.872	0.025649726	0.309450984001	0.0256497263908	758.0	20.0	9.803921699523926	96.0	Straight Road
5	Tue Nov 01 16:55:56 GMT+08:00 2016	01-Nov-2016 16:55:54.394	103.3261	2.02817666667	0.040148333	3.0	53.4	292.43	0.243	0.043	9.687	0.0067821145	0.144533991814	0.00678211450577	756.5	25.882352829	9.803921699523926	96.0	Straight Road
6	Tue Nov 01 16:55:57 GMT+08:00 2016	01-Nov-2016 16:55:55.391	103.326091667	2.02818166667	0.05559	3.0	53.4	179.09	0.235	-0.032	9.947	0.03325337	0.200123995543	0.0332533717155	791.25	25.882352829	9.803921699523926	96.0	Straight Road
7	Tue Nov 01 16:55:58 GMT+08:00 2016	01-Nov-2016 16:55:56.392	103.326095	2.028185	0.07360528	3.0	53.4	93.51	0.239	0.4	9.81	0.020127475	0.264978975058	0.0201274752617	791.25	25.0980396271	9.803921699523926	96.0	Straight Road
8	Tue Nov 01 16:55:59 GMT+08:00 2016	01-Nov-2016 16:55:57.392	103.326093333	2.028185	0.08132611	2.9	53.4	319.27	0.291	0.587	9.654	0.005361438	0.292773991823	0.00536143779755	756.0	30.1960792542	9.803921699523926	96.0	Straight Road
9	Tue Nov 01 16:56:00 GMT+08:00 2016	01-Nov-2016 16:55:58.392	103.326091667	2.028185	0.15441667	2.9	53.4	275.5	0.315	0.561	9.826	0.022775829	0.555899977684	0.0227758288383	720.5	30.1960792542	9.803921699523926	96.0	Straight Road
10	Tue Nov 01 16:56:01 GMT+08:00 2016	01-Nov-2016 16:55:59.392	103.326086667	2.02818166667	0.30008304	2.9	53.4	254.87	0.333	0.32	9.808	0.019903839	1.0802989006	0.0199038386345	720.5	21.5686283112	9.803921699523926	96.0	Straight Road
11	Tue Nov 01 16:56:02 GMT+08:00 2016	01-Nov-2016 16:56:00.393	103.32608	2.028175	0.6068575	2.9	53.4	240.79	0.39	0.481	10.135	0.02843156	2.18468689919	0.0284315608442	765.0	29.0196075439	9.803921699523926	96.0	Straight Road
12	Tue Nov 01 16:56:02 GMT+08:00 2016	01-Nov-2016 16:56:01.393	103.32608	2.028175	0.6068575	2.9	53.4	240.79	0.253	0.69	9.869	0.027799785	2.18468689919	0.0277997851372	996.25	29.0196075439	12.549019813537598	96.0	Straight Road
13	Tue Nov 01 16:56:04 GMT+08:00 2016	01-Nov-2016 16:56:02.391	103.326058333	2.02815666667	1.2487161	2.9	53.5	235.69	-0.368	0.705	9.91	0.0324412	4.49537801743	0.0324411988258	996.25	29.8039226532	12.941176414489746	96.0	Straight Road
14	Tue Nov 01 16:56:05 GMT+08:00 2016	01-Nov-2016 16:56:03.395	103.32605	2.02814333333	1.4757086	2.9	53.5	232.16	-0.12	0.12	10.427	0.08203572	5.31255102158	0.0820357203484	1310.5	29.8039226532	12.941176414489746	96.0	Straight Road
15	Tue Nov 01 16:56:06 GMT+08:00 2016	01-Nov-2016 16:56:04.402	103.326038333	2.02813	1.6934361	2.9	53.5	229.06	0.1	-0.909	10.036	0.06361892	6.09636974335	0.0636189207435	1310.5	16.4705886841	9.803921699523926	96.0	Straight Road
16	Tue Nov 01 16:56:07 GMT+08:00 2016	01-Nov-2016 16:56:05.393	103.326025	2.02811666667	2.182937	2.9	53.5	231.65	-0.55	-0.869	10.309	0.0750826	7.85857248306	0.0750826001167	925.25	20.392156601	9.803921699523926	96.0	Straight Road
17	Tue Nov 01 16:56:08 GMT+08:00 2016	01-Nov-2016 16:56:06.396	103.326023333	2.0281	2.138671	2.9	53.4	233.75	-0.076	-0.615	9.758	0.015702963	7.6992149353	0.0157029628754	750.0	20.392156601	9.803921699523926	95.0	Straight Road
18	Tue Nov 01 16:56:09 GMT+08:00 2016	01-Nov-2016 16:56:07.392	103.326018333	2.02808666667	1.6321841	2.9	53.4	223.66	0.084	0.447	9.772	0.016204774	5.87586259842	0.0162047743797	750.0	26.6666679382	9.803921699523926	95.0	Straight Road
19	Tue Nov 01 16:56:10 GMT+08:00 2016	01-Nov-2016 16:56:08.393	103.326013333	2.02807333333	1.3269539	2.8	53.3	216.73	0.028	0.231	9.62	-8.124113e-05	4.77703380585	-8.12411308289e-05	730.75	25.490196228	9.803921699523926	95.0	Straight Road
20	Tue Nov 01 16:56:11 GMT+08:00 2016	01-Nov-2016 16:56:09.392	103.326008333	2.02806166667	1.1473159	2.8	53.3	220.21	0.048	1.656	9.655	0.01758349	4.13033676147	0.017583489418	1106.0	25.490196228	9.803921699523926	95.0	Straight Road
21	Tue Nov 01 16:56:12 GMT+08:00 2016	01-Nov-2016 16:56:10.393	103.325998333	2.02805166667	1.7243195	2.8	53.2	230.49	0.24	1.395	9.761	0.02441281	6.20755004883	0.0244128108025	1438.5	43.9215698242	16.86274528503418	95.0	Straight Road
22	Tue Nov 01 16:56:13 GMT+08:00 2016	01-Nov-2016 16:56:11.392	103.325986667	2.02803666667	2.2174234	2.8	53.2	226.13	-0.46	1.183	9.711	0.017328262	7.98272418976	0.0173282623291	1481.75	43.9215698242	17.254901885986328	95.0	Straight Road
23	Tue Nov 01 16:56:14 GMT+08:00 2016	01-Nov-2016 16:56:12.396	103.325966667	2.02801666667	3.0152428	2.8	53.2	227.38	-0.496	1.251	9.583	0.0054454207	10.8548736572	0.00544542074203	1774.0	43.5294113159	18.431373596191406	95.0	Straight Road
24	Tue Nov 01 16:56:15 GMT+08:00 2016	01-Nov-2016 16:56:13.392	103.32594	2.02799166667	3.9628463	2.9	53.2	223.24	-0.6	1.011	9.61	0.005915642	14.266245842	0.00591564178467	1995.0	43.5294113159	19.60784339904785	95.0	Straight Road
25	Tue Nov 01 16:56:16 GMT+08:00 2016	01-Nov-2016 16:56:14.395	103.32591	2.02795	5.3577437	2.9	53.1	217.36	-0.286	1.264	9.924	0.039209902	19.2878761292	0.0392099022865	1646.25	57.6470603943	20.0	95.0	Straight Road
26	Tue Nov 01 16:56:17 GMT+08:00 2016	01-Nov-2016 16:56:15.391	103.32587	2.02790666667	6.5879297	2.8	53.0	215.8	0.008	1.172	10.024	0.04777521	23.7165470123	0.04777520895	1796.25	57.6470603943	22.745098114013672	95.0	Straight Road
27	Tue Nov 01 16:56:18 GMT+08:00 2016	01-Nov-2016 16:56:16.393	103.325826667	2.02785333333	7.4073677	2.8	52.8	216.15	0.212	0.956	10.113	0.054708183	26.6665229797	0.0547081828117	1853.75	58.0392150879	23.13725471496582	95.0	Straight Road
28	Tue Nov 01 16:56:19 GMT+08:00 2016	01-Nov-2016 16:56:17.392	103.325781667	2.027795	7.951429	2.8	52.5	215.76	0.235	0.951	9.981	0.041319788	28.6251430511	0.0413197875023	1931.0	54.9019622803	23.13725471496582	95.0	Straight Road
29	Tue Nov 01 16:56:20 GMT+08:00 2016	01-Nov-2016 16:56:18.394	103.32573	2.02772833333	8.91293	2.8	52.1	214.83	0.268	0.925	9.361	-0.021733224	32.0865440369	-0.0217332243919	2022.25	54.9019622803	23.13725471496582	95.0	Straight Road
30	Tue Nov 01 16:56:21 GMT+08:00 2016	01-Nov-2016 16:56:19.392	103.325675	2.027655	10.055099	2.8	51.7	215.36	0.196	0.341	9.234	-0.03886211	36.1983528137	-0.0388621091843	2098.0	41.9607849121	19.60784339904785	95.0	Straight Road
31	Tue Nov 01 16:56:22 GMT+08:00 2016	01-Nov-2016 16:56:20.392	103.325616667	2.027575	10.606366	2.7	51.6	213.98	0.427	0.513	9.727	0.012870848	38.1829185486	0.0128708481789	1849.0	49.0196075439	19.60784339904785	95.0	Straight Road
32	Tue Nov 01 16:56:23 GMT+08:00 2016	01-Nov-2016 16:56:21.392	103.325558333	2.02749166667	10.896669	2.7	51.4	212.74	0.553	0.479	9.334	-0.026603758	39.2280082703	-0.0266037583351	1631.75	49.0196075439	19.60784339904785	95.0	Straight Road
33	Tue Nov 01 16:56:24 GMT+08:00 2016	01-Nov-2016 16:56:22.393	103.3255	2.027405	11.261607	2.7	51.2	212.71	0.402	0.569	9.891	0.029754817	40.5417861938	0.0297548174858	1452.5	60.7843132019	19.60784339904785	95.0	Straight Road
34	Tue Nov 01 16:56:25 GMT+08:00 2016	01-Nov-2016 16:56:23.400	103.32544	2.02731333333	11.604927	2.6	50.6	213.2	0.207	0.479	9.484	-0.012769222	41.7777366638	-0.0127692222595	1646.75	61.1764717102	22.745098114013672	95.0	Straight Road
35	Tue Nov 01 16:56:26 GMT+08:00 2016	01-Nov-2016 16:56:24.392	103.325375	2.02722333333	12.013617	2.6	50.2	214.97	0.341	0.137	9.215	-0.040905774	43.2490196228	-0.0409057736397	1625.75	40.0	23.52941131591797	95.0	Straight Road
36	Tue Nov 01 16:56:27 GMT+08:00 2016	01-Nov-2016 16:56:25.392	103.32531	2.02713166667	12.111929	2.6	49.8	217.01	0.594	0.011	9.812	0.021035612	43.6029434204	0.0210356116295	1585.0	20.7843132019	13.333333969116211	95.0	Straight Road
37	Tue Nov 01 16:56:28 GMT+08:00 2016	01-Nov-2016 16:56:26.393	103.325241667	2.02704166667	12.426424	2.6	49.3	217.47	1.101	-0.102	10.237	0.06859654	44.7351264954	0.0685965418816	1593.75	21.1764717102	12.941176414489746	95.0	Straight Road
38	Tue Nov 01 16:56:29 GMT+08:00 2016	01-Nov-2016 16:56:27.393	103.325173333	2.02694833333	12.554075	2.6	48.5	217.9	0.934	-0.207	10.407	0.08432895	45.1946678162	0.0843289494514	1575.0	15.6862745285	12.941176414489746	95.0	Straight Road
39	Tue Nov 01 16:56:30 GMT+08:00 2016	01-Nov-2016 16:56:28.393	103.3251	2.026855	12.920042	2.6	48.0	219.36	0.476	-1.246	10.536	0.066725604	46.5121498108	0.0667256042361	1575.0	13.3333339691	9.803921699523926	95.0	Straight Road
40	Tue Nov 01 16:56:31 GMT+08:00 2016	01-Nov-2016 16:56:29.405	103.325025	2.026765	12.548413	2.7	47.2	220.8	0.14	-1.061	9.182	-0.038680196	45.1742858887	-0.0386801958084	1426.75	14.509803772	9.803921699523926	95.0	Straight Road
41	Tue Nov 01 16:56:32 GMT+08:00 2016	01-Nov-2016 16:56:30.392	103.324951667	2.02667833333	12.365686	2.7	46.8	219.79	0.116	-0.998	9.663	0.009325445	44.5164680481	0.00932544469833	1010.5	16.4705886841	9.803921699523926	95.0	Straight Road
42	Tue Nov 01 16:56:33 GMT+08:00 2016	01-Nov-2016 16:56:31.395	103.324878333	2.02659833333	11.862803	2.7	47.0	221.62	0.052	-1.448	10.478	0.097257555	42.7060928345	0.0972575545311	992.25	13.7254905701	9.803921699523926	95.0	Straight Road
43	Tue Nov 01 16:56:34 GMT+08:00 2016	01-Nov-2016 16:56:32.392	103.324808333	2.02651833333	11.500439	2.7	47.3	221.72	0.793	-1.214	11.31	0.14626233	41.4015769958	0.146262332797	992.25	14.117647171	9.803921699523926	95.0	Straight Road
44	Tue Nov 01 16:56:35 GMT+08:00 2016	01-Nov-2016 16:56:33.392	103.32474	2.02644166667	11.139618	2.7	46.7	219.82	0.295	-1.647	9.826	0.03504914	40.1026229858	0.0350491404533	926.75	14.509803772	9.803921699523926	95.0	Straight Road
45	Tue Nov 01 16:56:36 GMT+08:00 2016	01-Nov-2016 16:56:34.593	103.324675	2.02637	10.157014	2.7	46.5	222.22	-0.046	-1.691	10.446	0.05158341	36.5652503967	0.0678595900536	854.0	14.9019613266	9.803921699523926	95.0	Straight Road
46	Tue Nov 01 16:56:36 GMT+08:00 2016	01-Nov-2016 16:56:35.392	103.324675	2.02637	10.157014	2.7	46.5	222.22	-0.508	-2.347	10.103	0.06849003	36.5652503967	0.0684900283813	854.0	16.862745285	9.803921699523926	95.0	Straight Road
47	Tue Nov 01 16:56:38 GMT+08:00 2016	01-Nov-2016 16:56:36.392	103.324575	2.02623666667	8.1532	2.7	46.3	216.88	-2.029	-2.136	10.649	0.14530033	29.3515205383	0.145300328732	745.25	18.0392150879	9.803921699523926	95.0	Straight Road
48	Tue Nov 01 16:56:39 GMT+08:00 2016	01-Nov-2016 16:56:37.392	103.324545	2.026175	6.9312496	2.7	46.7	207.59	-2.898	-0.487	9.757	0.05772859	24.9524974823	0.0577285885811	703.75	20.392156601	9.803921699523926	95.0	Corner
49	Tue Nov 01 16:56:40 GMT+08:00 2016	01-Nov-2016 16:56:38.395	103.324535	2.02611333333	6.32851	2.7	46.1	185.58	-2.42	-0.294	9.052	-0.025391936	22.7826347351	-0.0253919363022	801.5	18.4313735962	9.803921699523926	95.0	Corner
50	Tue Nov 01 16:56:41 GMT+08:00 2016	01-Nov-2016 16:56:39.392	103.324538333	2.02606	5.8837895	2.7	45.8	174.03	-0.683	0.182	10.236	0.064909756	21.1816425323	0.0649097561836	852.5	11.764705658	9.803921699523926	95.0	Corner
51	Tue Nov 01 16:56:42 GMT+08:00 2016	01-Nov-2016 16:56:40.392	103.32456	2.02600833333	6.0526185	2.8	45.7	157.52	0.059	0.112	9.577	0.04739083	21.7894268036	0.0473908297718	836.5	12.9411764145	10.980392456054688	95.0	Corner
52	Tue Nov 01 16:56:43 GMT+08:00 2016	01-Nov-2016 16:56:41.392	103.324591667	2.02596	6.3295393	2.8	45.7	148.41	0.473	0.233	10.203	0.060449064	22.7863407135	0.0604490637779	836.5	25.490196228	13.333333969116211	95.0	Straight Road
53	Tue Nov 01 16:56:44 GMT+08:00 2016	01-Nov-2016 16:56:42.392	103.324625	2.02591	6.6332254	2.8	45.7	150.06	0.712	0.576	9.652	0.007313013	23.8796100616	0.00731301307678	1161.25	41.9607849121	18.039215087890625	95.0	Straight Road
54	Tue Nov 01 16:56:45 GMT+08:00 2016	01-Nov-2016 16:56:43.392	103.324653333	2.02585666667	6.8998513	2.8	45.8	155.62	0.635	0.755	9.854	0.03155609	24.8394641876	0.0315560884774	1605.25	49.4117660522	19.60784339904785	95.0	Straight Road
55	Tue Nov 01 16:56:46 GMT+08:00 2016	01-Nov-2016 16:56:44.392	103.324676667	2.02579666667	7.434133	2.8	46.0	161.34	0.854	0.655	9.915	0.03564042	26.762878418	0.0356404185295	1605.25	49.8039207458	20.0	95.0	Straight Road
56	Tue Nov 01 16:56:47 GMT+08:00 2016	01-Nov-2016 16:56:45.392	103.324695	2.02573166667	7.5756817	2.8	46.3	167.58	0.602	0.827	10.141	0.057986557	27.2724533081	0.0579865574837	1720.5	53.3333358765	21.176471710205078	95.0	Straight Road
57	Tue Nov 01 16:56:48 GMT+08:00 2016	01-Nov-2016 16:56:46.393	103.32471	2.02566	8.154229	2.8	47.2	170.31	0.968	0.678	9.724	0.017527401	29.3552246094	0.0175274014473	1762.75	55.2941169739	21.960784912109375	95.0	Curve Road
58	Tue Nov 01 16:56:48 GMT+08:00 2016	01-Nov-2016 16:56:47.392	103.32471	2.02566	8.154229	2.8	47.2	170.31	0.949	0.706	9.727	-0.0085328305	29.3552246094	-0.00853283051401	1770.5	56.8627471924	22.352941513061523	95.0	Curve Road
