	GPS Time	 Device Time	 Longitude	 Latitude	GPS Speed (Meters/second)	 Horizontal Dilution of Precision	 Altitude	 Bearing	 G(x)	 G(y)	 G(z)	 G(calibrated)	Engine RPM(rpm)	Engine Load(%)	Speed (GPS)(km/h)	Throttle Position(Manifold)(%)	Engine Coolant Temperature(°C)	Acceleration Sensor(Total)(g)	Road Structure
30	Tue Nov 01 17:34:29 GMT+08:00 2016	01-Nov-2016 17:34:28.909	103.32551151	2.02760809	2.25	6.0	74.0	66.5	-0.8086416	1.5783775	9.184157	0.023001859	1192.75	41.1764717102	8.0999994278	13.72549057006836	90.0	0.0230018589646	Straight Road
31	Tue Nov 01 17:34:30 GMT+08:00 2016	01-Nov-2016 17:34:29.908	103.32552241	2.02763146	3.0	5.0	71.0	62.4	-1.0821792	0.6434417	10.01315	0.033030927	1330.5	41.1764717102	10.7999992371	16.078432083129883	90.0	0.0330309271812	Straight Road
32	Tue Nov 01 17:34:31 GMT+08:00 2016	01-Nov-2016 17:34:30.907	103.32555286	2.02763231	3.0	6.0	71.0	63.2	-0.18794483	1.388637	9.952098	0.04349214	1330.5	19.2156867981	10.7999992371	12.15686321258545	90.0	0.0434921383858	Straight Road
33	Tue Nov 01 17:34:32 GMT+08:00 2016	01-Nov-2016 17:34:31.907	103.32560278	2.0276626	3.75	6.0	71.0	52.2	-0.45250413	2.0925324	9.604341	0.018305574	1530.75	36.0784301758	13.5	19.60784339904785	90.0	0.0183055736125	Straight Road
34	Tue Nov 01 17:34:33 GMT+08:00 2016	01-Nov-2016 17:34:32.906	103.32564314	2.02766326	3.75	6.0	71.0	57.2	-0.35793316	1.5957354	9.559449	0.021529168	2042.25	41.1764717102	13.5	19.60784339904785	89.0	0.0215291678905	Straight Road
35	Tue Nov 01 17:34:34 GMT+08:00 2016	01-Nov-2016 17:34:33.906	103.32567558	2.0277103	4.25	8.0	69.0	48.7	0.2765303	1.5819688	9.515156	-0.010398364	2042.25	41.1764717102	15.2999992371	20.0	89.0	-0.0103983636945	Straight Road
36	Tue Nov 01 17:34:35 GMT+08:00 2016	01-Nov-2016 17:34:34.907	103.32571562	2.02775461	5.0	8.0	68.0	45.9	0.23642741	1.5705963	9.624691	0.013379455	1604.0	56.0784339905	18.0	22.352941513061523	89.0	0.0133794546127	Straight Road
37	Tue Nov 01 17:34:36 GMT+08:00 2016	01-Nov-2016 17:34:35.908	103.32578014	2.02781937	7.0	9.0	65.0	44.1	0.30645782	1.8423382	9.560646	-0.00869	1852.25	56.0784339905	25.1999988556	22.352941513061523	89.0	-0.00868999958038	Straight Road
38	Tue Nov 01 17:34:37 GMT+08:00 2016	01-Nov-2016 17:34:36.914	103.32580822	2.02790717	8.0	11.0	64.0	33.6	-0.08499416	1.9985598	10.5123415	0.011750379	1852.25	56.8627471924	28.7999992371	23.13725471496582	89.0	0.00562085956335	Straight Road
39	Tue Nov 01 17:34:38 GMT+08:00 2016	01-Nov-2016 17:34:37.907	103.32586457	2.02800254	9.25	15.0	64.0	32.1	0.04129998	1.6687586	10.039486	0.032208424	2072.0	54.1176490784	33.2999992371	23.13725471496582	89.0	0.0322084240615	Straight Road
40	Tue Nov 01 17:34:39 GMT+08:00 2016	01-Nov-2016 17:34:38.907	103.32596037	2.02811246	10.75	15.0	62.0	35.2	0.22625206	1.4311341	8.960898	0.03241639	2335.25	51.3725509644	38.7000007629	23.13725471496582	89.0	0.0324163883924	Straight Road
41	Tue Nov 01 17:34:40 GMT+08:00 2016	01-Nov-2016 17:34:39.907	103.32597197	2.02817102	10.5	13.0	68.0	31.4	0.6715736	1.5041572	10.409989	0.09336442	2335.25	51.3725509644	37.7999992371	23.13725471496582	89.0	0.0933644175529	Straight Road
42	Tue Nov 01 17:34:41 GMT+08:00 2016	01-Nov-2016 17:34:40.907	103.32604477	2.02830246	12.5	7.0	66.0	27.2	0.5021838	1.3036429	9.891046	0.0372687	2334.0	49.8039207458	45.0	20.0	89.0	0.0372686982155	Straight Road
43	Tue Nov 01 17:34:42 GMT+08:00 2016	01-Nov-2016 17:34:41.907	103.32609416	2.02842642	12.75	6.0	64.0	27.7	0.18854338	1.1881226	9.416994	-0.007140398	1794.5	49.8039207458	45.8999977112	20.0	89.0	-0.00714039802551	Straight Road
44	Tue Nov 01 17:34:43 GMT+08:00 2016	01-Nov-2016 17:34:42.906	103.32613039	2.02853322	13.25	6.0	63.0	26.8	0.015562311	1.0468647	9.582193	-0.0032596425	1794.5	48.6274528503	47.6999969482	20.0	89.0	-0.00325964251533	Straight Road
45	Tue Nov 01 17:34:44 GMT+08:00 2016	01-Nov-2016 17:34:43.908	103.32616141	2.02862603	13.25	5.0	63.0	24.9	0.47884035	1.377863	10.081984	0.028240928	1841.5	49.0196075439	47.6999969482	20.0	89.0	0.0282409284264	Straight Road
46	Tue Nov 01 17:34:45 GMT+08:00 2016	01-Nov-2016 17:34:44.906	103.32621787	2.02871876	13.25	6.0	61.0	25.1	-0.43155485	1.6992847	9.962274	0.0501284	1858.5	49.0196075439	47.6999969482	20.0	89.0	0.0501284003258	Straight Road
47	Tue Nov 01 17:34:46 GMT+08:00 2016	01-Nov-2016 17:34:45.907	103.32627732	2.02880678	13.25	6.0	59.0	26.7	-0.30406362	1.395221	9.940127	-0.0022123843	1858.5	49.0196075439	47.6999969482	20.39215660095215	89.0	-0.00221238425002	Straight Road
48	Tue Nov 01 17:34:47 GMT+08:00 2016	01-Nov-2016 17:34:46.907	103.32633846	2.02890493	14.0	6.0	59.0	27.8	-0.27234045	1.4089876	9.799467	0.027664738	1883.75	51.3725509644	50.3999977112	21.176471710205078	89.0	0.0276647377759	Straight Road
49	Tue Nov 01 17:34:48 GMT+08:00 2016	01-Nov-2016 17:34:47.908	103.32640109	2.02902021	14.0	5.0	59.0	25.8	0.062249243	1.4395138	9.190742	-0.01172086	1873.0	51.3725509644	50.3999977112	21.176471710205078	89.0	-0.011720860377	Straight Road
