	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1	Unnamed: 0.1.1	GPS Time	 Device Time	 Longitude	 Latitude	GPS Speed (Meters/second)	 Horizontal Dilution of Precision	 Altitude	 Bearing	 G(x)	 G(y)	 G(z)	 G(calibrated)	Speed (GPS)(km/h)	Acceleration Sensor(Total)(g)	Engine RPM(rpm)	Engine Load(%)	Throttle Position(Manifold)(%)	Engine Coolant Temperature(°C)	Road Structure	Driver Name	Behaviour	Overspeeding
2	2	2	2	2	Tue Dec 13 22:23:46 GMT+08:00 2016	13-Dec-2016 22:23:44.932	103.326266667	2.02799833333	0.10397389	3.8	43.7	78.0	0.905	-0.762	9.846	0.029889166	0.374305993319	0.0298891663551	701.0	25.490196228027344	9.803921699523926	89.0	Straight Road	Goh Chun Wooi	Good	0
3	3	3	3	3	Tue Dec 13 22:23:46 GMT+08:00 2016	13-Dec-2016 22:23:45.932	103.326266667	2.02799833333	0.10397389	3.8	43.7	78.0	0.839	-0.78	9.673	0.011925399	0.374305993319	0.0119253993034	689.0	24.3137264251709	9.803921699523926	89.0	Straight Road	Goh Chun Wooi	Good	0
4	4	4	4	4	Tue Dec 13 22:23:47 GMT+08:00 2016	13-Dec-2016 22:23:46.932	103.326291667	2.028025	0.048383888	3.7	43.5	135.04	1.143	-0.714	9.853	0.03273493	0.174181997776	0.0327349305153	685.75	25.490196228027344	9.803921699523926	89.0	Straight Road	Goh Chun Wooi	Good	0
5	5	5	5	5	Tue Dec 13 22:23:49 GMT+08:00 2016	13-Dec-2016 22:23:47.933	103.326318333	2.02806166667	0.0	3.7	43.1	195.25	1.155	-0.058	9.441	-0.011421561	0.0	-0.0114215612411	1105.75	30.58823585510254	13.333333969116211	89.0	Straight Road	Goh Chun Wooi	Good	0
6	6	6	6	6	Tue Dec 13 22:23:49 GMT+08:00 2016	13-Dec-2016 22:23:48.932	103.326318333	2.02806166667	0.0	3.7	43.1	195.25	1.084	-0.05	9.885	0.03269869	0.0	0.0326986908913	1080.0	32.94117736816406	14.901961326599121	89.0	Straight Road	Goh Chun Wooi	Good	0
7	7	7	7	7	Tue Dec 13 22:23:51 GMT+08:00 2016	13-Dec-2016 22:23:49.935	103.326316667	2.02805333333	1.4221776	3.6	42.8	210.33	1.01	-0.174	9.426	-0.014480889	5.11983919144	-0.0144808888435	1352.5	34.90196228027344	15.29411792755127	89.0	Straight Road	Goh Chun Wooi	Good	0
8	8	8	8	8	Tue Dec 13 22:23:51 GMT+08:00 2016	13-Dec-2016 22:23:50.933	103.326316667	2.02805333333	1.4221776	3.6	42.8	210.33	0.503	-0.85	10.236	0.06727117	5.11983919144	0.0672711730003	1497.75	31.764705657958984	15.29411792755127	89.0	Straight Road	Goh Chun Wooi	Good	0
9	9	9	9	9	Tue Dec 13 22:23:52 GMT+08:00 2016	13-Dec-2016 22:23:51.934	103.32631	2.02804	2.4691224	3.6	42.7	214.32	1.508	-0.11	9.599	0.009555876	8.88884067535	0.00955587625504	1657.0	30.980392456054688	15.29411792755127	89.0	Straight Road	Goh Chun Wooi	Good	0
10	10	10	10	10	Tue Dec 13 22:23:54 GMT+08:00 2016	13-Dec-2016 22:23:52.933	103.326268333	2.027985	4.4466853	3.5	42.4	212.69	1.164	-0.393	9.492	-0.0053450465	16.0080661774	-0.00534504652023	1340.25	33.72549057006836	15.29411792755127	89.0	Straight Road	Goh Chun Wooi	Good	0
11	11	11	11	11	Tue Dec 13 22:23:55 GMT+08:00 2016	13-Dec-2016 22:23:53.934	103.326238333	2.02794	5.331493	3.5	42.2	214.45	1.284	-0.529	9.262	-0.02630794	19.1933746338	-0.0263079404831	1358.5	32.94117736816406	14.901961326599121	89.0	Straight Road	Goh Chun Wooi	Good	0
12	12	12	12	12	Tue Dec 13 22:23:56 GMT+08:00 2016	13-Dec-2016 22:23:54.933	103.326205	2.027905	5.753565	3.5	42.0	218.19	0.921	-0.929	9.792	0.026033103	20.7128334045	0.026033103466	1242.25	17.254901885986328	11.764705657958984	89.0	Straight Road	Goh Chun Wooi	Good	0
13	13	13	13	13	Tue Dec 13 22:23:56 GMT+08:00 2016	13-Dec-2016 22:23:55.948	103.326205	2.027905	5.753565	3.5	42.0	218.19	1.252	-1.183	9.361	-0.0107495785	20.7128334045	-0.010749578476	1200.5	14.901961326599121	9.411765098571777	89.0	Straight Road	Goh Chun Wooi	Good	0
14	14	14	14	14	Tue Dec 13 22:23:57 GMT+08:00 2016	13-Dec-2016 22:23:56.933	103.326165	2.027865	5.920335	3.5	41.8	221.76	0.981	-1.169	9.86	0.036064208	21.313205719	0.0360642075539	1160.25	13.72549057006836	9.803921699523926	89.0	Straight Road	Goh Chun Wooi	Good	0
15	15	15	15	15	Tue Dec 13 22:23:59 GMT+08:00 2016	13-Dec-2016 22:23:57.933	103.326091667	2.02780833333	5.869892	3.5	41.5	226.32	0.806	-1.115	9.909	0.034065172	21.1316108704	0.0340651720762	1120.25	14.901961326599121	10.196078300476074	89.0	Straight Road	Goh Chun Wooi	Good	0
16	16	16	16	16	Tue Dec 13 22:24:00 GMT+08:00 2016	13-Dec-2016 22:23:58.933	103.326056667	2.02777666667	5.7545943	3.5	41.4	225.78	0.747	-0.27	9.909	0.01671713	20.7165393829	0.0167171303183	1344.5	22.745098114013672	14.901961326599121	89.0	Straight Road	Goh Chun Wooi	Good	0
17	17	17	17	17	Tue Dec 13 22:24:01 GMT+08:00 2016	13-Dec-2016 22:23:59.933	103.32602	2.02774333333	5.8415823	3.4	41.4	221.83	0.621	-0.083	10.038	0.02146112	21.0296955109	0.0214611198753	1484.25	40.7843132019043	17.254901885986328	89.0	Straight Road	Goh Chun Wooi	Good	0
18	18	18	18	18	Tue Dec 13 22:24:02 GMT+08:00 2016	13-Dec-2016 22:24:00.932	103.325981667	2.02770166667	6.4679995	3.4	41.4	220.15	0.331	-0.249	9.43	-0.01880914	23.2847976685	-0.0188091397285	1642.75	41.17647171020508	17.647058486938477	89.0	Straight Road	Goh Chun Wooi	Good	0
19	19	19	19	19	Tue Dec 13 22:24:03 GMT+08:00 2016	13-Dec-2016 22:24:01.933	103.325941667	2.02765166667	7.3759694	3.4	41.4	217.42	0.578	-0.171	9.826	0.022513807	26.5534896851	0.0225138068199	1678.75	40.7843132019043	17.647058486938477	89.0	Straight Road	Goh Chun Wooi	Good	0
20	20	20	20	20	Tue Dec 13 22:24:04 GMT+08:00 2016	13-Dec-2016 22:24:02.933	103.325886667	2.02761	7.6570077	3.4	41.3	215.97	1.073	-0.139	10.215	0.06610912	27.5652275085	0.0661091208458	1725.0	40.7843132019043	18.039215087890625	89.0	Straight Road	Goh Chun Wooi	Good	0
21	21	21	21	21	Tue Dec 13 22:24:05 GMT+08:00 2016	13-Dec-2016 22:24:03.933	103.325841667	2.02755166667	8.531521	3.4	41.7	212.23	1.14	-0.189	9.542	-0.0012124777	30.7134742737	-0.00121247768402	1836.0	40.0	18.039215087890625	89.0	Straight Road	Goh Chun Wooi	Good	0
22	22	22	22	22	Tue Dec 13 22:24:05 GMT+08:00 2016	13-Dec-2016 22:24:04.933	103.325841667	2.02755166667	8.531521	3.4	41.7	212.23	1.189	-0.282	9.697	0.015298784	30.7134742737	0.0152987837791	1883.0	39.607845306396484	18.039215087890625	90.0	Straight Road	Goh Chun Wooi	Good	0
23	23	23	23	23	Tue Dec 13 22:24:07 GMT+08:00 2016	13-Dec-2016 22:24:05.933	103.325736667	2.02743	9.135805	3.3	42.1	214.22	1.367	-0.351	9.774	0.025663793	32.8888969421	0.025663793087	1606.0	43.52941131591797	18.039215087890625	90.0	Straight Road	Goh Chun Wooi	Good	0
