GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%)
Mon Nov 07 16:33:51 GMT+08:00 2016,07-Nov-2016 16:33:49.717,103.32539,2.0278216666666666,0.0,6.5,18.3,307.59,-0.048,-0.714,9.904,0.031214058,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688,17.647058486938477,90.0,0.0,0.03121405839920044,745.25,30.980392456054688
Mon Nov 07 16:33:52 GMT+08:00 2016,07-Nov-2016 16:33:50.722,103.32536999999999,2.0278433333333337,0.0,6.6,18.3,307.59,-0.074,-0.691,9.917,0.032386243,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254,17.647058486938477,90.0,0.0,0.03238624334335327,771.75,30.58823585510254
Mon Nov 07 16:33:53 GMT+08:00 2016,07-Nov-2016 16:33:51.716,103.32535000000001,2.0278616666666665,0.0,6.8,18.3,307.59,-0.087,-0.75,9.942,0.035373986,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094,17.647058486938477,90.0,0.0,0.0353739857673645,796.0,29.411766052246094
Mon Nov 07 16:33:54 GMT+08:00 2016,07-Nov-2016 16:33:52.716,103.32533666666669,2.0278766666666663,0.0,7.0,18.3,307.59,-0.046,-0.729,9.934,0.03437394,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313,17.647058486938477,90.0,0.0,0.034373939037323,787.5,29.019607543945313
Mon Nov 07 16:33:55 GMT+08:00 2016,07-Nov-2016 16:33:53.715,103.325325,2.0278883333333337,0.0,7.2,18.3,307.59,-0.113,-0.694,9.85,0.025632441,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094,17.647058486938477,90.0,0.0,0.02563244104385376,772.5,29.411766052246094
Mon Nov 07 16:33:56 GMT+08:00 2016,07-Nov-2016 16:33:54.716,103.32531333333333,2.0279016666666667,1.9471942,7.4,18.2,319.79,-0.083,-0.708,9.855,0.026211679,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094,17.647058486938477,90.0,7.009899139404297,0.026211678981781006,761.5,29.411766052246094
Mon Nov 07 16:33:57 GMT+08:00 2016,07-Nov-2016 16:33:55.716,103.32530166666666,2.027915,1.9121931,7.6,18.2,321.3,-0.047,-0.7,9.82,0.022570789,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242,17.647058486938477,90.0,6.883894920349121,0.022570788860321045,751.5,29.803922653198242
Mon Nov 07 16:33:58 GMT+08:00 2016,07-Nov-2016 16:33:56.716,103.32533333333335,2.0279033333333336,1.306365,7.5,18.2,329.68,-0.085,-0.697,9.829,0.02349013,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328,18.039215087890625,90.0,4.702913761138916,0.02349013090133667,757.75,32.54901885986328
Mon Nov 07 16:33:59 GMT+08:00 2016,07-Nov-2016 16:33:57.716,103.32533333333335,2.0279083333333334,1.1740814,7.6,18.2,328.61,-0.092,-0.779,9.933,0.03469044,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957,18.823530197143555,90.0,4.226693153381348,0.03469043970108032,777.25,39.2156867980957
Mon Nov 07 16:34:00 GMT+08:00 2016,07-Nov-2016 16:33:58.716,103.32533166666666,2.027915,1.0706222,7.7,18.2,333.05,-0.042,-0.774,9.91,0.032279074,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484,18.823530197143555,90.0,3.8542399406433105,0.03227907419204712,801.5,39.607845306396484
