GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%)
Tue Dec 13 16:54:37 GMT+08:00 2016,13-Dec-2016 16:54:35.839,103.32530833333334,2.027578333333333,0.0,6.7,46.5,0.0,0.651,-0.427,9.854,0.02661544,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344,-,89.0,0.0,0.026615440845489502,746.0,45.490196228027344
Tue Dec 13 16:54:38 GMT+08:00 2016,13-Dec-2016 16:54:36.837,103.32531166666668,2.0275833333333333,0.0,6.4,45.5,0.0,0.62,-0.564,9.618,0.0031437874,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242,-,90.0,0.0,0.003143787384033203,770.25,46.66666793823242
Tue Dec 13 16:54:39 GMT+08:00 2016,13-Dec-2016 16:54:37.837,103.32531333333333,2.027595,0.0,6.1,44.8,0.0,0.801,-1.251,9.365,-0.014427245,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266,18.431373596191406,90.0,0.0,-0.014427244663238525,754.5,44.313724517822266
Tue Dec 13 16:54:40 GMT+08:00 2016,13-Dec-2016 16:54:38.836,103.32531833333333,2.0276033333333334,0.0,5.9,44.5,0.0,0.219,-1.44,9.965,0.045594037,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508,18.431373596191406,90.0,0.0,0.04559403657913208,688.25,41.17647171020508
Tue Dec 13 16:54:41 GMT+08:00 2016,13-Dec-2016 16:54:39.837,103.32533666666669,2.0276349999999996,0.0,5.8,44.6,0.0,0.365,-0.643,9.663,0.006894529,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594,18.431373596191406,90.0,0.0,0.006894528865814209,576.5,41.568626403808594
Tue Dec 13 16:54:42 GMT+08:00 2016,13-Dec-2016 16:54:40.837,103.32533333333335,2.0276366666666665,0.0,5.6,44.8,0.0,0.286,-1.193,9.804,0.026182234,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266,18.431373596191406,90.0,0.0,0.026182234287261963,616.25,44.313724517822266
Tue Dec 13 16:54:43 GMT+08:00 2016,13-Dec-2016 16:54:41.837,103.32536833333333,2.02765,0.0,5.5,44.6,0.0,0.566,-0.78,9.764,0.019147217,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766,19.215686798095703,90.0,0.0,0.019147217273712158,782.0,52.156864166259766
Tue Dec 13 16:54:44 GMT+08:00 2016,13-Dec-2016 16:54:42.836,103.32539666666668,2.0276533333333333,0.0,5.4,44.8,0.0,0.236,-0.784,9.863,0.02786082,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375,19.215686798095703,90.0,0.0,0.027860820293426514,741.25,47.8431396484375
Tue Dec 13 16:54:45 GMT+08:00 2016,13-Dec-2016 16:54:43.836,103.32539999999999,2.0276566666666667,0.0,5.3,44.9,0.0,0.215,-0.284,9.819,0.020575821,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0,20.0,90.0,0.0,0.02057582139968872,992.0,60.0
Tue Dec 13 16:54:46 GMT+08:00 2016,13-Dec-2016 16:54:44.836,103.32539999999999,2.027665,0.0,5.3,45.0,0.0,-0.247,-0.88,9.961,0.038658082,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039,19.60784339904785,90.0,0.0,0.038658082485198975,1140.5,50.19607925415039
