GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%)
Sun Oct 30 10:51:30 GMT+08:00 2016,30-Oct-2016 10:51:30.094,103.32609,2.0281466666666663,0.17757916,4.1,54.2,60.39,-2.632,-1.984,11.534,0.24180335,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227,-,-,0.6392849683761597,0.21434396505355835,-,21.568628311157227
Sun Oct 30 10:51:31 GMT+08:00 2016,30-Oct-2016 10:51:31.086,103.32609666666667,2.0281450000000003,0.0,4.0,53.4,60.39,0.256,-6.197,9.181,0.11749676,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227,-,86.0,0.0,0.11749675869941711,683.0,21.568628311157227
Sun Oct 30 10:51:32 GMT+08:00 2016,30-Oct-2016 10:51:32.086,103.32610333333332,2.0281466666666663,0.38604167,4.0,52.5,62.42,-0.352,-9.107,6.252,0.08388651,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758,9.411765098571777,86.0,1.3897500038146973,0.0838865116238594,783.25,33.33333206176758
Sun Oct 30 10:51:33 GMT+08:00 2016,30-Oct-2016 10:51:33.086,103.32609666666667,2.0281450000000003,0.0,3.9,52.4,62.42,-0.193,-7.359,7.249,0.073774055,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328,9.411765098571777,86.0,0.0,0.073774054646492,1220.0,32.54901885986328
Sun Oct 30 10:51:34 GMT+08:00 2016,30-Oct-2016 10:51:34.086,103.32608499999999,2.0281450000000003,0.0,3.9,52.1,62.42,-0.135,-7.363,7.268,0.073717415,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016,9.411765098571777,86.0,0.0,0.07371741533279419,1259.0,28.235294342041016
Sun Oct 30 10:51:35 GMT+08:00 2016,30-Oct-2016 10:51:35.086,103.32607166666666,2.028141666666667,0.0,3.8,51.9,62.42,-0.262,-7.353,7.255,0.07230991,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625,9.411765098571777,86.0,0.0,0.07230991125106812,937.5,38.039215087890625
Sun Oct 30 10:51:36 GMT+08:00 2016,30-Oct-2016 10:51:36.086,103.32607000000002,2.028141666666667,0.0,3.7,51.3,62.42,-0.235,-7.303,7.254,0.068550766,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125,9.411765098571777,86.0,0.0,0.06855076551437378,911.5,36.07843017578125
Sun Oct 30 10:51:37 GMT+08:00 2016,30-Oct-2016 10:51:37.086,103.32606833333332,2.028141666666667,0.019044721,3.7,50.8,211.22,-0.604,-7.396,7.194,0.07255143,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695,9.411765098571777,86.0,0.06856099516153336,0.072551429271698,864.25,35.29411697387695
Sun Oct 30 10:51:38 GMT+08:00 2016,30-Oct-2016 10:51:38.086,103.32606333333334,2.0281450000000003,0.20434472,3.6,50.5,302.1,-0.889,-7.299,7.284,0.07404524,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758,9.411765098571777,86.0,0.7356409430503845,0.07404524087905884,900.25,33.33333206176758
Sun Oct 30 10:51:39 GMT+08:00 2016,30-Oct-2016 10:51:39.086,103.32606333333334,2.0281450000000003,0.0,3.6,50.0,302.1,-0.076,-7.172,7.376,0.06775445,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375,9.411765098571777,86.0,0.0,0.06775444746017456,813.25,21.960784912109375
