GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%)
Sat Oct 29 14:52:22 GMT+08:00 2016,29-Oct-2016 14:52:20.170,103.32610166666667,2.0281499999999997,0.0,1.2,47.6,216.28,0.653,-7.494,7.354,0.0913623,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0,-,-,0.0,0.09136229753494263,-,20.0
Sat Oct 29 14:52:23 GMT+08:00 2016,29-Oct-2016 14:52:21.166,103.32610166666667,2.0281499999999997,0.0,1.5,47.6,216.28,0.632,-7.408,7.312,0.0819971,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0,-,90.0,0.0,0.0819970965385437,742.5,20.0
Sat Oct 29 14:52:24 GMT+08:00 2016,29-Oct-2016 14:52:22.167,103.32610166666667,2.0281499999999997,0.0,1.7,47.6,216.28,0.575,-7.375,7.27,0.07626766,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785,9.411765098571777,90.0,0.0,0.0748332142829895,750.75,19.60784339904785
Sat Oct 29 14:52:25 GMT+08:00 2016,29-Oct-2016 14:52:23.167,103.32610166666667,2.0281499999999997,0.0,1.9,47.6,216.28,0.572,-7.407,7.327,0.08264476,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215,9.411765098571777,90.0,0.0,0.0826447606086731,760.5,20.39215660095215
Sat Oct 29 14:52:26 GMT+08:00 2016,29-Oct-2016 14:52:24.166,103.32610166666667,2.0281499999999997,0.0,2.0,47.6,216.28,0.608,-7.418,7.269,0.07950896,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836,9.411765098571777,90.0,0.0,0.0795089602470398,1006.75,33.72549057006836
Sat Oct 29 14:52:27 GMT+08:00 2016,29-Oct-2016 14:52:25.167,103.32610166666667,2.0281499999999997,0.0,1.2,47.6,216.28,0.311,-7.605,7.388,0.10027641,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508,9.411765098571777,90.0,0.0,0.1002764105796814,1161.75,41.17647171020508
Sat Oct 29 14:52:28 GMT+08:00 2016,29-Oct-2016 14:52:26.167,103.32610166666667,2.0281499999999997,0.0,1.1,47.6,216.28,-0.136,-7.495,7.394,0.09231633,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0,9.411765098571777,90.0,0.0,0.09231632947921753,971.25,40.0
Sat Oct 29 14:52:29 GMT+08:00 2016,29-Oct-2016 14:52:27.167,103.32610166666667,2.0281499999999997,0.0,1.6,47.6,216.28,-0.722,-7.492,7.085,0.07269603,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117,13.333333969116211,91.0,0.0,0.0726960301399231,1299.25,50.58823776245117
Sat Oct 29 14:52:30 GMT+08:00 2016,29-Oct-2016 14:52:28.167,103.32610166666667,2.0281499999999997,0.0,1.8,47.6,216.28,-0.183,-7.298,7.392,0.07804412,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594,13.333333969116211,91.0,0.0,0.0780441164970398,1410.75,47.05882263183594
Sat Oct 29 14:52:31 GMT+08:00 2016,29-Oct-2016 14:52:29.168,103.32606833333332,2.0281366666666667,2.31625,2.0,47.6,225.46,0.397,-7.009,6.827,0.017208576,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367,11.764705657958984,91.0,8.338500022888184,0.017208576202392578,1509.75,42.74509811401367
