GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%)
Sat Oct 29 15:15:37 GMT+08:00 2016,29-Oct-2016 15:15:35.413,103.32212,2.0303916666666666,0.0,2.6,45.7,235.96,-0.075,-7.856,6.862,0.08232051,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422,-,85.0,0.0,0.08232051134109497,-,26.666667938232422
Sat Oct 29 15:15:38 GMT+08:00 2016,29-Oct-2016 15:15:36.404,103.32212,2.0303916666666666,0.0,1.2,45.7,235.96,-0.085,-7.867,6.857,0.08283812,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555,9.411765098571777,85.0,0.0,0.08283811807632446,-,18.823530197143555
Sat Oct 29 15:15:39 GMT+08:00 2016,29-Oct-2016 15:15:37.402,103.32212,2.0303916666666666,0.0,1.1,45.7,235.96,-0.084,-7.844,6.827,0.07906097,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215,9.411765098571777,86.0,0.0,0.07906097173690796,669.5,20.39215660095215
Sat Oct 29 15:15:40 GMT+08:00 2016,29-Oct-2016 15:15:38.402,103.32212,2.0303916666666666,0.0,1.0,45.7,235.96,-0.404,-7.861,6.842,0.08213526,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313,9.411765098571777,86.0,0.0,0.08213526010513306,737.0,29.019607543945313
Sat Oct 29 15:15:41 GMT+08:00 2016,29-Oct-2016 15:15:39.401,103.32212,2.0303916666666666,0.0,1.0,45.7,235.96,-0.36,-7.595,6.958,0.083444774,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203,9.411765098571777,86.0,0.0,0.08344477415084839,799.25,36.47058868408203
Sat Oct 29 15:15:42 GMT+08:00 2016,29-Oct-2016 15:15:40.401,103.32212,2.0303916666666666,0.0,1.2,45.7,235.96,-0.63,-7.67,7.181,0.09196681,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328,9.411765098571777,86.0,0.0,0.09196680784225464,836.25,32.54901885986328
Sat Oct 29 15:15:43 GMT+08:00 2016,29-Oct-2016 15:15:41.402,103.32212,2.0303916666666666,0.0,1.3,45.7,235.96,-0.361,-7.986,6.623,0.07723278,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492,9.411765098571777,86.0,0.0,0.07723277807235718,712.25,25.882352828979492
Sat Oct 29 15:15:44 GMT+08:00 2016,29-Oct-2016 15:15:42.401,103.32212,2.0303916666666666,0.0,1.4,45.7,235.96,-2.554,-7.703,7.662,0.15670496,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328,16.078432083129883,86.0,0.0,0.15670496225357056,678.5,52.54901885986328
Sat Oct 29 15:15:45 GMT+08:00 2016,29-Oct-2016 15:15:43.401,103.32212,2.0303916666666666,0.0,1.6,45.7,235.96,-2.28,-7.435,7.288,0.09291072,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094,17.254901885986328,86.0,0.0,0.09291072189807892,1651.75,49.411766052246094
Sat Oct 29 15:15:46 GMT+08:00 2016,29-Oct-2016 15:15:44.403,103.32212,2.0303916666666666,0.0,1.7,45.7,235.96,-1.73,-7.096,7.205,0.101021156,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516,17.647058486938477,86.0,0.0,0.10102115571498871,2058.0,56.078433990478516
