GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Engine Load(%)
Tue Nov 01 16:55:51 GMT+08:00 2016,01-Nov-2016 16:55:49.393,103.32614833333334,2.0281333333333333,0.11787139,3.5,53.4,314.83,0.228,0.068,9.874,0.025816023,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078,-,96.0,0.4243369996547699,0.025816023349761963,700.5,21.176471710205078
Tue Nov 01 16:55:52 GMT+08:00 2016,01-Nov-2016 16:55:50.394,103.32615,2.0281366666666667,0.048383888,3.4,53.4,243.74,0.244,0.075,9.9,0.028509676,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078,9.803921699523926,96.0,0.1741819977760315,0.028509676456451416,700.5,21.176471710205078
Tue Nov 01 16:55:53 GMT+08:00 2016,01-Nov-2016 16:55:51.392,103.32612833333333,2.0281516666666666,0.067943335,3.3,53.4,274.44,0.196,0.143,9.784,0.01665622,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0,9.411765098571777,96.0,0.24459600448608398,0.016656219959259033,745.5,20.0
Tue Nov 01 16:55:54 GMT+08:00 2016,01-Nov-2016 16:55:52.392,103.32611666666665,2.02816,0.10397389,3.2,53.4,259.56,0.247,0.077,9.788,0.017105877,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0,9.411765098571777,96.0,0.37430599331855774,0.01710587739944458,758.0,20.0
Tue Nov 01 16:55:55 GMT+08:00 2016,01-Nov-2016 16:55:53.392,103.32610666666666,2.0281683333333334,0.08595861,3.1,53.4,296.41,0.235,0.093,9.872,0.025649726,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0,9.803921699523926,96.0,0.30945098400115967,0.025649726390838623,758.0,20.0
Tue Nov 01 16:55:56 GMT+08:00 2016,01-Nov-2016 16:55:54.394,103.32610000000001,2.0281766666666665,0.040148333,3.0,53.4,292.43,0.243,0.043,9.687,0.0067821145,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492,9.803921699523926,96.0,0.14453399181365967,0.006782114505767822,756.5,25.882352828979492
Tue Nov 01 16:55:57 GMT+08:00 2016,01-Nov-2016 16:55:55.391,103.32609166666667,2.0281816666666668,0.05559,3.0,53.4,179.09,0.235,-0.032,9.947,0.03325337,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492,9.803921699523926,96.0,0.20012399554252625,0.033253371715545654,791.25,25.882352828979492
Tue Nov 01 16:55:58 GMT+08:00 2016,01-Nov-2016 16:55:56.392,103.32609499999998,2.028185,0.07360528,3.0,53.4,93.51,0.239,0.4,9.81,0.020127475,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195,9.803921699523926,96.0,0.26497897505760193,0.020127475261688232,791.25,25.098039627075195
Tue Nov 01 16:55:59 GMT+08:00 2016,01-Nov-2016 16:55:57.392,103.32609333333333,2.028185,0.08132611,2.9,53.4,319.27,0.291,0.587,9.654,0.005361438,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039,9.803921699523926,96.0,0.2927739918231964,0.005361437797546387,756.0,30.19607925415039
Tue Nov 01 16:56:00 GMT+08:00 2016,01-Nov-2016 16:55:58.392,103.32609166666667,2.028185,0.15441667,2.9,53.4,275.5,0.315,0.561,9.826,0.022775829,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039,9.803921699523926,96.0,0.555899977684021,0.02277582883834839,720.5,30.19607925415039
