GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Engine Load(%),Speed (GPS)(km/h),Throttle Position(Manifold)(%),Engine Coolant Temperature(°C),Acceleration Sensor(Total)(g)
Tue Nov 01 17:33:59 GMT+08:00 2016,01-Nov-2016 17:33:58.908,103.32545143,2.0275562,0.0,9.0,82.0,0.0,-0.018555064,0.91578215,9.556456,-0.0023810267,738.25,20.39215660095215,0.0,-,90.0,-0.0023810267448425293
Tue Nov 01 17:34:00 GMT+08:00 2016,01-Nov-2016 17:33:59.909,103.32545491,2.0275641,0.0,8.0,80.0,0.0,-0.04189853,0.8774749,9.753379,0.008558299,732.0,20.0,0.0,-,90.0,0.008558299392461777
Tue Nov 01 17:34:01 GMT+08:00 2016,01-Nov-2016 17:34:00.906,103.32545654,2.02757035,0.0,8.0,78.0,0.0,0.012569559,0.86131406,9.631275,0.008793579,732.0,20.0,0.0,9.803921699523926,90.0,0.008793579414486885
Tue Nov 01 17:34:02 GMT+08:00 2016,01-Nov-2016 17:34:01.906,103.32545997,2.02755942,0.0,8.0,80.0,0.0,-0.07062895,0.9008184,9.715072,0.00800612,738.75,19.60784339904785,0.0,9.803921699523926,90.0,0.008006120100617409
Tue Nov 01 17:34:03 GMT+08:00 2016,01-Nov-2016 17:34:02.906,103.32545651,2.0275664,0.0,7.0,78.0,0.0,-0.007182605,0.8900445,9.775525,0.019607723,733.75,19.60784339904785,0.0,9.803921699523926,90.0,0.019607722759246826
Tue Nov 01 17:34:04 GMT+08:00 2016,01-Nov-2016 17:34:03.907,103.32545686,2.02757189,0.0,7.0,77.0,0.0,0.055066638,0.931943,9.629479,0.005200565,733.75,20.39215660095215,0.0,9.803921699523926,90.0,0.005200564861297607
Tue Nov 01 17:34:05 GMT+08:00 2016,01-Nov-2016 17:34:04.907,103.32545652,2.02757325,0.0,7.0,77.0,0.0,-0.010773907,0.62608373,9.755774,0.0075068544,718.75,23.52941131591797,0.0,9.803921699523926,90.0,0.0075068543665111065
Tue Nov 01 17:34:06 GMT+08:00 2016,01-Nov-2016 17:34:05.908,103.32545664,2.02757624,0.0,7.0,76.0,0.0,0.06584055,0.98102415,9.627684,0.008820254,757.75,23.52941131591797,0.0,9.803921699523926,90.0,0.008820254355669022
Tue Nov 01 17:34:07 GMT+08:00 2016,01-Nov-2016 17:34:06.906,103.3254568,2.02757638,0.0,7.0,76.0,0.0,-0.08738836,1.0205284,9.800665,0.007886033,757.75,29.019607543945313,0.0,9.803921699523926,90.0,0.007886032573878765
Tue Nov 01 17:34:08 GMT+08:00 2016,01-Nov-2016 17:34:07.907,103.32545727,2.02757714,0.0,7.0,76.0,0.0,0.29209262,0.8655039,9.816826,0.024018705,833.75,29.411766052246094,0.0,9.803921699523926,90.0,0.024018704891204834
Tue Nov 01 17:34:09 GMT+08:00 2016,01-Nov-2016 17:34:08.907,103.32545715,2.02757819,0.0,7.0,76.0,0.0,0.022146367,0.94331545,9.491813,0.01133398,692.75,29.411766052246094,0.0,9.803921699523926,89.0,0.011333979666233063
Tue Nov 01 17:34:10 GMT+08:00 2016,01-Nov-2016 17:34:09.906,103.32545744,2.02757845,0.0,9.0,76.0,0.0,-0.050278235,0.7763199,9.727641,-0.0010925165,692.75,31.764705657958984,0.0,9.803921699523926,89.0,-0.0010925164679065347
Tue Nov 01 17:34:11 GMT+08:00 2016,01-Nov-2016 17:34:10.906,103.32545669,2.02757836,0.0,7.0,76.0,0.0,-0.60573304,1.033098,9.722255,4.7174428E-4,823.0,20.784313201904297,0.0,9.803921699523926,89.0,4.7174427891150117E-4
Tue Nov 01 17:34:12 GMT+08:00 2016,01-Nov-2016 17:34:11.908,103.32545544,2.02757851,0.0,7.0,75.0,0.0,-0.5093664,1.8076223,9.478644,0.004005134,832.25,20.784313201904297,0.0,9.803921699523926,90.0,0.01824963092803955
Tue Nov 01 17:34:13 GMT+08:00 2016,01-Nov-2016 17:34:12.908,103.32545515,2.02757841,0.0,7.0,75.0,0.0,-0.24121583,1.1767502,9.808446,0.026311576,832.25,19.60784339904785,0.0,9.803921699523926,89.0,0.02631157636642456
Tue Nov 01 17:34:14 GMT+08:00 2016,01-Nov-2016 17:34:13.906,103.3254547,2.02757826,0.0,7.0,75.0,0.0,-0.023942016,1.3922282,9.752781,0.009237211,867.5,22.745098114013672,0.0,9.803921699523926,89.0,0.00923721119761467
Tue Nov 01 17:34:15 GMT+08:00 2016,01-Nov-2016 17:34:14.906,103.32545436,2.02757801,0.0,8.0,75.0,0.0,0.28790274,1.3862427,9.476849,0.005087947,810.25,22.745098114013672,0.0,9.803921699523926,89.0,0.005087947007268667
Tue Nov 01 17:34:16 GMT+08:00 2016,01-Nov-2016 17:34:15.907,103.32545428,2.02757768,0.0,7.0,75.0,0.0,0.37229836,1.3916297,9.416994,0.008259043,810.25,23.92156982421875,0.0,10.196078300476074,89.0,0.008259043097496033
Tue Nov 01 17:34:17 GMT+08:00 2016,01-Nov-2016 17:34:16.910,103.3254539,2.02758092,0.0,7.0,75.0,0.0,0.39324763,1.0295067,9.63726,0.0077938437,938.5,22.352941513061523,0.0,10.196078300476074,89.0,0.007793843746185303
Tue Nov 01 17:34:18 GMT+08:00 2016,01-Nov-2016 17:34:17.907,103.32545396,2.02758117,0.0,7.0,75.0,0.0,-0.2705448,-0.2741361,9.61691,0.008517633,855.0,22.352941513061523,0.0,9.803921699523926,89.0,0.008517633192241192
Tue Nov 01 17:34:19 GMT+08:00 2016,01-Nov-2016 17:34:18.906,103.32545438,2.02758117,0.0,7.0,75.0,0.0,-0.6733692,0.16340427,9.363723,0.016893068,855.0,21.568628311157227,0.0,9.803921699523926,89.0,0.016893068328499794
Tue Nov 01 17:34:20 GMT+08:00 2016,01-Nov-2016 17:34:19.909,103.32545463,2.02758129,0.0,6.0,75.0,0.0,-0.44532153,1.2515689,9.607931,0.012956053,741.0,25.490196228027344,0.0,9.803921699523926,89.0,0.012956053018569946
Tue Nov 01 17:34:21 GMT+08:00 2016,01-Nov-2016 17:34:20.907,103.32545592,2.02758038,0.0,6.0,75.0,0.0,-0.51355624,0.85652566,9.786898,0.02182573,726.25,25.490196228027344,0.0,9.803921699523926,89.0,0.021825730800628662
Tue Nov 01 17:34:22 GMT+08:00 2016,01-Nov-2016 17:34:21.907,103.32545617,2.02758016,0.0,5.0,75.0,0.0,-0.84814596,0.80804306,9.75697,0.020737112,726.25,25.098039627075195,0.0,9.803921699523926,89.0,0.020737111568450928
Tue Nov 01 17:34:23 GMT+08:00 2016,01-Nov-2016 17:34:22.908,103.32546005,2.02758174,0.0,4.0,75.0,0.0,-0.7188591,0.87927055,9.625888,0.010159777,703.5,25.490196228027344,0.0,9.803921699523926,89.0,0.010159776546061039
Tue Nov 01 17:34:24 GMT+08:00 2016,01-Nov-2016 17:34:23.906,103.32545922,2.0275808,0.0,4.0,75.0,0.0,-0.5746084,0.75956047,9.84795,0.010136302,707.75,25.490196228027344,0.0,9.803921699523926,89.0,0.010136301629245281
Tue Nov 01 17:34:25 GMT+08:00 2016,01-Nov-2016 17:34:24.906,103.3254607,2.02758287,0.0,4.0,74.0,0.0,-0.705691,0.9498995,9.625888,0.013586415,707.75,23.92156982421875,0.0,9.803921699523926,89.0,0.013586414977908134
Tue Nov 01 17:34:26 GMT+08:00 2016,01-Nov-2016 17:34:25.906,103.32546218,2.02758432,0.0,4.0,74.0,0.0,-0.44352585,1.6077064,9.668385,0.019119442,717.75,29.019607543945313,0.0,9.803921699523926,89.0,0.019119441509246826
Tue Nov 01 17:34:27 GMT+08:00 2016,01-Nov-2016 17:34:26.908,103.32546281,2.02758502,0.0,5.0,74.0,0.0,0.08200141,1.4425066,10.481815,0.09758574,1144.25,29.019607543945313,0.0,10.196078300476074,89.0,0.09758573770523071
Tue Nov 01 17:34:28 GMT+08:00 2016,01-Nov-2016 17:34:27.907,103.32546819,2.0275891,1.25,5.0,74.0,52.9,-0.31064767,1.5448587,9.923966,0.003403167,1144.25,33.33333206176758,4.5,13.72549057006836,90.0,0.0034031670074909925
Tue Nov 01 17:34:29 GMT+08:00 2016,01-Nov-2016 17:34:28.909,103.32551151,2.02760809,2.25,6.0,74.0,66.5,-0.8086416,1.5783775,9.184157,0.023001859,1192.75,41.17647171020508,8.09999942779541,13.72549057006836,90.0,0.023001858964562416
Tue Nov 01 17:34:30 GMT+08:00 2016,01-Nov-2016 17:34:29.908,103.32552241,2.02763146,3.0,5.0,71.0,62.4,-1.0821792,0.6434417,10.01315,0.033030927,1330.5,41.17647171020508,10.799999237060547,16.078432083129883,90.0,0.033030927181243896
